type,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
0,0.389,0.802,0.59,0.979,1.039,0.572,1.499,0.906,0.937,0.787,0.244,-0.092,0.009,-0.814,-0.116,-0.981,-0.47,-0.546,-0.941,-0.696,-1.014,-0.403,0.054,0.03
0,0.123,0.303,0.696,1.187,0.821,0.964,0.578,1.014,1.099,0.949,0.503,-0.561,-0.114,-0.363,-0.813,-0.815,-1.225,-0.796,-1.064,-1.337,-0.817,-0.091,-0.359,0.22
0,0.543,0.501,0.601,0.707,1.188,0.681,1.04,0.779,0.028,0.077,0.534,-0.057,-0.018,0.066,-0.265,-0.663,-0.852,-1.058,-0.493,-0.687,-1.059,-0.547,-0.834,-0.059
0,-0.519,0.894,0.516,0.737,0.915,1.184,1.169,1.036,0.535,0.091,0.142,0.083,-0.506,-0.521,-1.057,-0.869,-0.927,-1.044,-1.015,-0.337,-0.478,-0.167,-0.536,0.049
0,0.605,0.483,0.068,0.969,0.394,0.757,1.363,1.051,1.035,0.592,0.226,-0.277,0.219,-0.486,-0.922,-0.606,-0.644,-0.431,-1.147,-0.983,-0.832,-0.613,-0.369,-0.089
0,0.691,0.291,0.591,1.062,1.303,0.768,0.813,1.023,1.012,0.425,-0.17,0.513,0.172,-0.713,-0.727,-1.394,-0.795,-0.516,-1.457,-1.1,-0.899,-0.704,-0.869,0.15
0,-0.201,0.493,0.885,0.807,1.234,0.992,0.772,1.06,0.577,1.032,0.253,0.256,-0.197,-1.402,-1.117,-0.993,-0.895,-1.703,-0.677,-1.047,-0.933,-0.967,-0.695,0.017
0,0.412,-0.129,0.406,1.027,0.83,1.65,1.34,1.045,0.709,0.584,0.047,0.188,0.185,-0.175,-0.951,-1.352,-0.999,-0.868,-0.561,-1.262,-0.598,-0.43,0.099,-0.008
0,0.152,0.156,0.552,0.757,1.671,1.734,0.916,0.553,0.115,0.654,-0.068,0.685,-0.525,-0.467,0.436,-1.199,-0.874,-1.332,-0.862,-1.128,-0.684,-0.589,-0.614,0.003
0,0.556,0.978,0.295,0.791,1.314,0.666,0.207,0.585,0.417,0.514,0.138,0.069,-0.386,-0.388,-0.817,-0.509,-1.187,-0.913,-1.231,-0.804,-0.721,-1.005,-0.302,0.354
0,0.463,0.543,0.349,1.217,0.99,0.864,1.459,0.635,0.798,0.885,0.439,-0.092,-0.384,-0.393,-0.553,-0.86,-0.57,-1.02,-1.176,-0.705,-1.368,-0.382,-0.11,-0.067
0,-0.076,0.382,1.172,0.643,0.266,1.244,0.816,0.713,0.342,0.493,0.469,-0.176,-0.441,-0.171,-0.781,-0.914,-1.154,-0.73,-1.264,-0.611,-0.465,-0.64,-0.004,0.296
0,0.432,1.107,0.118,0.517,0.553,1.05,1.441,1.369,0.854,0.764,0.215,0.141,-0.146,-0.728,-0.795,-0.906,-0.548,-1.311,-1.6,-0.636,-0.952,-0.631,0.013,-0.229
0,0.156,0.951,0.866,1.029,0.925,0.659,0.517,0.799,1.308,0.567,0.308,0.1,-0.374,-0.92,0.096,-0.993,-1.056,-1.538,-1.04,-0.94,-0.784,-1.036,0.277,0.529
0,0.466,0.17,0.921,0.792,0.87,1.409,0.598,0.713,0.488,0.506,-0.213,-0.211,-0.044,-0.36,-0.999,-0.698,-1.696,-1.102,-0.752,-1.064,-0.718,-0.978,-0.004,-0.555
0,0.162,0.423,0.725,0.619,1.515,0.571,1.042,-0.016,0.708,0.653,-0.067,0.211,-0.16,-0.207,-0.96,-1.157,-1.497,-1.097,-1.368,-0.66,-0.686,0.157,-0.606,0.355
0,0.101,0.063,0.879,0.436,0.649,0.78,1.029,0.566,1.03,0.14,0.324,0.043,-0.579,-0.629,-0.904,-0.578,-0.499,-1.312,-0.687,-0.889,-1.297,-0.727,-0.12,0.044
0,-0.474,0.674,0.904,0.775,0.754,1.591,0.939,0.862,0.37,0.097,-0.198,-0.127,0.149,0.026,-0.237,-0.477,-1.037,-1.367,-1.064,-1.59,-0.801,-0.002,-0.22,0.329
0,0.406,0.266,1.23,0.843,0.673,1.021,0.51,1.125,0.858,0.394,0.112,0.281,-0.578,-0.795,-0.58,-1.001,-0.688,-1.06,-0.607,-0.717,-1.381,-0.901,0.126,0.207
0,-0.031,0.096,1.017,0.622,1.506,1.531,0.53,0.612,0.332,0.7,-0.128,-0.611,0.348,-0.198,-0.462,-1.065,-0.969,-0.814,-1.35,-0.903,-0.654,0.008,-0.066,0.385
0,0.301,0.166,0.605,0.367,1.245,1.425,0.947,0.572,1.033,0.542,0.143,0.337,-0.487,-0.155,-0.96,-0.749,-0.699,-1.401,-0.846,-0.9,-0.504,-0.737,-0.285,0.415
0,0.309,0.747,0.641,0.557,0.963,0.633,0.187,1.217,0.381,-0.048,0.557,-0.004,-0.439,-0.553,-0.835,-0.567,-0.748,-1.518,-0.86,-0.648,-0.507,-1.227,-0.329,0.594
0,0.498,-0.013,0.208,1.013,0.914,1.288,1.054,0.89,0.762,0.55,-0.122,0.705,-0.682,-0.505,-0.87,-0.326,-0.662,-1.169,-0.904,-0.516,-0.036,-0.409,-0.572,-0.295
0,0.861,-0.121,1.624,0.788,0.83,1.047,1.246,0.957,0.12,0.606,0.394,0.198,-0.568,-1.211,-0.804,-1.149,-1.196,-1.286,-1.085,-0.959,-0.468,-0.204,-0.497,-0.093
0,0.367,0.92,0.69,0.356,1.035,0.964,1.498,0.969,0.52,0.368,0.107,0.056,-0.206,-0.225,-0.611,-0.976,-1.248,-0.81,-0.985,-0.811,-0.376,0.026,-0.545,0.493
0,-0.001,0.58,0.774,0.783,1.384,0.802,1.164,0.862,0.428,0.864,-0.368,-0.158,-0.721,-0.442,-0.628,-1.202,-0.771,-1.31,-0.768,-0.795,-0.493,-0.782,-0.23,-0.139
0,-0.182,0.546,1.239,0.672,0.906,1.207,0.977,1.449,0.928,1.196,0.363,-0.34,-0.132,-0.777,-1.009,-0.923,-0.686,-0.897,-0.722,-0.591,-0.759,-1.221,-0.02,0.651
0,0.276,0.094,0.597,0.586,0.953,1.203,1.226,0.937,0.427,0.744,0.663,0.676,-0.407,-0.358,-0.349,-0.901,-0.808,-0.936,-1.006,-0.815,-0.418,-0.377,-0.399,-0.672
0,0.02,0.494,-0.047,1.529,0.519,0.652,1.403,0.209,0.929,0.397,0.396,0.263,-0.546,-0.712,-1.606,-1.154,-0.852,-0.848,-0.358,-0.847,-0.568,-0.478,-0.405,0.225
0,0.398,0.539,0.462,0.854,1.2,1.203,0.821,0.665,0.861,0.815,0.295,-0.094,-0.523,-0.626,-1.152,-1.075,-0.625,-0.666,-1.227,-0.803,-0.686,-0.999,-0.016,-0.574
0,-0.115,0.799,0.545,0.801,0.479,0.565,1.071,0.814,0.53,0.1,-0.07,0.611,-0.357,-0.268,-0.472,-0.637,-0.877,-1.376,-1.269,-0.641,-1.1,-0.342,-0.419,-0.12
0,0.022,0.431,0.97,1.002,0.896,1.261,1.463,0.864,0.848,0.583,-0.035,-0.278,0.317,-0.236,-0.484,-0.822,-0.82,-0.954,-0.953,-0.799,-1.01,0.22,-0.018,-0.075
0,0.623,0.312,1.22,0.748,0.269,1.409,1.306,0.634,0.284,-0.05,0.178,-0.55,-0.503,-0.451,-0.45,-1.112,-1.003,-0.924,-0.45,-1.154,-1.188,-1.054,-0.092,-0.018
0,0.49,0.458,0.825,0.933,0.973,0.813,1.345,0.744,0.907,0.549,0.793,0.213,-0.36,-0.503,-0.745,-1.493,-0.457,-0.681,-1.196,-0.751,-0.635,-0.84,0.188,-0.074
0,0.314,0.621,0.409,0.54,0.951,1.173,0.988,1.078,0.808,0.664,-0.162,0.203,-0.496,-0.64,-0.739,-1.36,-0.996,-1.132,-1.181,-1.032,-0.333,-0.878,-0.323,-0.742
0,0.057,0.35,1.17,0.577,0.704,0.581,1.02,1.212,0.348,0.372,0.669,-0.205,-0.053,-0.383,-1.099,-0.501,-0.727,-1.146,-1.237,-0.983,-0.463,-0.669,-0.821,-0.043
0,0.49,0.152,0.636,0.499,1.001,0.96,0.956,0.679,0.494,0.761,0.29,-0.056,-1.223,-0.883,-0.478,-0.988,-1.328,-1.132,-1.079,-1.016,-0.558,-0.044,0.038,0.374
0,0.16,0.753,0.413,0.824,1.622,0.996,0.874,0.691,0.938,1.132,0.382,-0.078,0.363,-0.734,-0.368,-0.992,-1.272,-0.635,-1.506,-0.959,-0.702,-0.633,-0.75,-0.192
0,-0.208,1.077,0.15,0.234,1.175,1.272,0.907,0.804,0.925,0.92,-0.218,0.391,-0.2,-0.602,-0.328,-0.584,-0.583,-1.087,-0.733,-0.777,-0.862,0.027,-0.21,-0.016
0,0.418,0.617,0.495,0.85,1.748,0.978,0.877,1.086,0.828,0.339,-0.066,0.254,-0.223,-0.355,-0.795,-1.362,-0.945,-0.283,-1.404,-1.161,-1.108,-0.61,0.156,-0.046
0,0.182,0.113,0.727,1.177,1.644,1.394,0.705,0.715,0.889,0.497,0.341,-0.394,-0.387,-0.778,-0.986,-1.082,-1.09,-1.002,-0.776,-1.019,-0.964,-0.015,0.039,0.209
0,0.769,0.207,1.322,1.234,1.058,1.187,0.984,0.833,0.234,0.723,0.902,0.627,-0.208,-0.532,-0.653,-0.522,-0.523,-0.878,-0.632,-0.874,-0.558,-0.144,0.833,-0.016
0,0.058,0.634,0.585,1.057,1.068,1.395,0.678,0.504,1.177,0.568,-0.018,-0.322,-0.425,-0.323,-0.865,-0.463,-0.893,-0.941,-0.971,-0.955,-0.757,-0.153,-0.66,0.326
0,0.154,0.72,0.69,0.462,1.07,0.808,1.303,0.618,0.171,0.244,0.087,-0.248,-0.33,-0.679,-0.83,-0.768,-1.315,-0.772,-0.967,-0.877,-1.318,-0.59,-0.426,0.254
0,0.676,0.869,0.373,0.627,0.939,0.682,0.485,1.103,0.728,0.684,-0.102,-0.102,-0.61,-0.749,-0.638,-1.111,-1.264,-1.392,-1.396,-1.125,-0.196,-0.697,-0.593,-0.422
0,0.214,0.382,0.783,0.781,1.226,1.216,1.283,0.939,1.041,0.477,0.539,-0.047,-0.463,-0.866,-0.92,-1.091,-0.793,-1.016,-1.155,-1.136,-0.253,-0.571,-0.633,-0.129
0,0.287,0.75,0.682,0.9,0.654,1.239,0.996,1.087,1.171,0.554,0.174,-0.23,-0.432,-0.774,-0.596,-1.306,-1.49,-1.2,-0.641,-0.829,-0.855,-0.299,-0.364,-0.034
0,0.281,0.827,1.095,1.251,1.26,1.099,1.53,1.479,1.106,0.434,-0.053,0.058,-0.425,-0.418,-0.872,-0.59,-0.309,-0.711,-0.743,-0.855,-0.053,-0.524,0.154,0.473
0,0.307,-0.476,0.608,1.003,0.575,0.613,1.238,0.027,0.777,0.419,0.061,0.019,-0.242,-0.426,-0.67,-1.027,-0.888,-0.584,-0.766,-0.417,-0.79,-0.325,-0.108,-0.223
0,0.014,1.061,0.459,1.151,0.886,0.67,0.506,0.504,0.122,0.235,0.551,-0.174,0.262,-0.552,-0.989,-0.951,-1.143,-1.133,-0.948,-0.841,-0.48,-0.338,-0.026,0.04
0,0.017,0.635,0.831,0.745,0.849,1.329,1.368,0.9,0.589,0.996,-0.114,-0.274,-0.004,-0.778,-0.439,-1.148,-0.804,-1.055,-0.698,-0.467,-0.738,-0.315,-0.799,-0.079
0,-0.104,0.561,0.703,0.795,0.909,1.285,0.92,1.422,0.136,0.608,0.893,-0.341,-0.498,-0.619,-0.68,-0.938,-1.105,-0.422,-0.929,-0.538,-1.599,-0.161,0.135,-0.145
0,0.191,1,0.719,1.177,1.142,0.953,0.878,0.44,0.066,0.493,0.34,-0.151,-0.07,-0.358,-0.809,-0.851,-0.577,-0.906,-0.725,-0.72,-0.189,-0.469,-0.556,-0.138
0,0.33,0.419,0.656,1.065,0.733,0.424,1.572,0.997,1.022,0.406,0.287,-0.646,-0.151,-0.36,-0.979,-1.025,-0.563,-0.859,-1.042,-0.755,-1.111,-0.148,-0.831,-0.301
0,0.462,0.846,0.187,1.046,1.068,0.989,0.778,0.609,0.753,0.862,-0.188,-0.315,0.233,-0.862,-1.495,-0.861,-0.863,-0.996,-1.228,-0.763,-0.76,-0.224,-0.169,0.208
0,0.356,0.622,0.935,0.18,1.121,0.596,1.075,1.26,0.573,0.258,0.233,0.476,-0.229,-0.455,-0.871,-1.024,-1.008,-1.477,-0.596,-0.967,-1.307,-0.505,-0.331,-0.538
0,0.874,0.165,0.301,1.001,1.276,0.941,1.034,0.535,0.994,0.594,0.289,0.224,0.041,-0.72,-0.563,-1.163,-0.297,-0.863,-0.977,-1.013,-0.773,-0.83,-0.24,0.175
0,0.105,0.256,0.218,1.037,1.066,0.937,0.801,0.944,0.295,0.058,-0.175,-0.108,-0.022,-0.286,-0.877,-0.441,-1.31,-1.148,-1.186,-0.818,-1.232,-0.145,0.103,0.293
0,0.234,0.847,0.853,1.154,1.019,1.088,0.332,0.705,1.011,0.53,-0.107,-0.288,-0.426,0.137,-0.761,-1.059,-1.594,-1.571,-0.599,-1.121,-0.221,-0.599,-0.957,0.658
0,-0.066,0.348,0.736,0.83,0.51,0.547,1.385,0.653,0.955,1.012,0.025,-0.212,-0.857,0.07,-0.934,-0.979,-1.375,-0.777,-0.483,-0.798,-0.827,-1.001,0.188,0.207
0,0.247,0.861,1.097,0.727,0.598,1.289,1.174,0.716,1.653,-0.265,0.256,0.342,0.186,-0.207,-0.663,-0.629,-0.799,-1.008,-1.229,-0.501,-0.812,-0.588,-0.183,0.003
0,-0.334,0.372,0.891,1.235,0.585,0.805,0.233,1.165,0.709,0.737,0.09,0.064,0.034,-0.57,-0.453,-0.67,-1.443,-0.907,-1.712,-0.95,-0.873,-0.237,-0.171,-0.179
0,0.212,0.555,0.403,0.662,0.593,0.539,0.809,0.86,0.237,0.64,0.058,0.093,-0.216,-0.612,-1.291,-1.345,-1.728,-0.591,-1.074,-0.285,-1.144,-0.055,0.064,-0.227
0,0.473,0.674,0.663,1.318,0.882,1.608,0.607,1.26,0.55,0.606,0.237,-0.04,-0.285,-0.225,-0.698,-0.458,-0.932,-0.948,-0.982,-0.993,-0.645,-0.202,-0.015,0.299
0,0.779,0.607,0.754,1.332,0.947,0.698,0.698,0.67,0.277,0.925,0.081,0.336,0.456,-0.621,-0.596,-1.039,-0.09,-1.324,-0.612,-0.605,-0.428,-0.193,-0.075,0.182
0,-0.009,0.636,0.595,1.718,1.186,1.252,0.3,0.468,0.414,0.324,0.088,0.193,-0.33,-0.59,-0.35,-1.499,-0.988,-0.741,-0.644,-0.928,-0.837,-0.555,-0.388,-0.127
0,-0.147,0.441,0.777,0.699,0.632,0.511,0.85,1.383,0.54,0.309,1.093,-0.587,-0.216,-0.301,-0.851,-0.511,-0.724,-0.984,-1.316,-0.769,-0.803,-0.766,-0.213,0.174
0,0.235,0.755,-0.046,1.088,0.795,1.086,1.31,0.908,0.734,-0.289,-0.106,0.225,-0.684,-0.534,-0.616,-0.972,-1.221,-1.438,-0.887,-1.438,-0.985,-0.533,-0.548,-0.049
0,0.517,0.505,0.748,1.346,0.933,1.086,0.371,0.875,0.479,0.133,0.56,-0.006,0.025,-0.773,-1.428,-0.817,-0.683,-0.237,-0.7,-0.548,-0.892,-0.394,-0.401,0.127
0,-0.096,0.385,0.269,0.88,1.102,1.017,0.774,0.794,0.214,0.433,-0.274,-0.005,0.266,-0.289,-0.263,-0.46,-1.065,-0.891,-1.514,-0.598,-0.923,-0.218,-0.82,0.344
0,0.108,0.928,0.701,0.675,1.115,0.983,0.778,0.598,1.43,0.215,0.427,-0.063,-0.564,-0.917,-1.154,-1.288,-1.415,-0.794,-1.037,-0.266,-0.517,-0.006,-0.108,0.254
0,0.399,0.379,0.984,0.864,1.276,0.76,1.267,0.772,0.441,-0.077,0.745,0.156,-0.276,-0.291,-0.691,-1.259,-1.603,-1.062,-1.06,-1.183,-0.582,-0.595,-0.011,0.387
0,0.071,0.237,0.75,1.294,0.446,0.749,0.751,0.978,1.422,0.361,0.131,-0.511,-0.571,-0.269,-0.931,-1.012,-1.072,-1.019,-0.48,-0.492,-0.105,-1.056,-0.398,0.313
0,0.168,0.595,0.512,0.305,0.604,1.569,0.887,1.402,0.967,0.711,0.746,-0.477,-0.442,-0.594,-0.984,-0.943,-1.591,-1.425,-0.783,-0.794,-0.316,-0.6,-0.374,-0.126
0,-0.029,0.575,0.353,1.015,0.913,1.232,1.34,0.741,0.578,0.486,0.061,0.481,-0.278,-0.239,-0.594,-0.441,-1.029,-1.803,-0.783,-1.176,-0.558,-0.792,-0.287,-0.166
0,0.185,0.304,0.412,0.925,0.601,0.914,0.876,0.674,1.23,-0.061,0.268,-0.363,-0.661,-0.514,-0.051,-0.439,-0.911,-1.196,-0.353,-0.936,-0.975,-0.907,-0.434,0.5
0,0.585,0.667,0.216,0.785,1.293,0.906,0.761,0.882,0.494,0.394,0.977,0.165,0.116,-0.485,-0.844,-0.669,-1.412,-0.559,-1.032,-1.773,-0.968,-0.624,0.338,-0.024
0,-0.186,0.414,0.437,0.394,0.765,0.443,1.771,0.949,0.895,0.155,0.648,0.157,-0.54,-0.532,-0.827,-0.48,-1.015,-0.674,-0.747,-0.956,-0.722,-0.759,-0.408,-0.419
0,0.132,0.391,0.642,1.616,1.009,0.557,1.245,0.78,1.13,0.516,0.741,-0.005,-0.422,0.094,-1.117,-0.739,-1.259,-0.642,-0.834,-0.995,-0.82,-0.233,-0.578,-0.233
0,0.381,0.725,0.193,0.924,0.617,0.807,1.36,1.166,0.649,0.22,0.352,0.475,0.013,-0.38,-0.684,-0.548,-0.691,-0.757,-1.179,-1.673,-0.877,-0.11,-0.316,-0.191
0,-0.352,0.319,0.465,0.684,0.992,0.93,1.345,0.397,0.259,0.171,0.25,0.652,0.152,-0.614,-0.941,-0.487,-0.874,-1.126,-0.977,-0.51,-0.739,-0.439,-0.025,-0.163
0,-0.349,0.493,1.074,0.814,1.165,0.836,0.691,0.997,0.592,0.753,0.545,-0.123,-0.229,-0.224,-0.269,-0.985,-1.111,-1.095,-0.603,-1.092,-0.902,-0.576,-0.648,-0.127
0,0.139,0.518,0.911,1.337,1.209,0.619,1.417,1.108,0.726,0.903,0.421,-0.046,-0.434,-0.234,-1.37,-0.912,-1.304,-1.606,-0.899,-0.904,-1.314,-0.584,-0.133,0.193
0,0.347,0.716,0.765,0.976,0.932,0.689,1.042,1.143,1.39,0.368,0.262,-0.638,-0.496,-0.113,-0.783,-0.695,-0.766,-1.285,-0.961,-0.796,-0.801,-0.438,-0.455,-0.346
0,0.417,0.918,0.762,0.845,0.878,1.424,1.296,1.287,0.894,0.582,0.409,0.079,-0.619,0.146,-1.051,-0.58,-1.337,-1.268,-1.179,-1.225,-0.728,-0.755,-0.212,0.605
0,0.48,-0.007,0.85,0.888,1.549,1.152,0.888,0.487,0.721,0.857,-0.009,-0.23,0.037,-0.225,-0.794,-1.012,-1.047,-0.668,-0.948,-0.788,-0.218,-0.239,0.106,0.516
0,0.165,0.469,0.757,1.003,0.815,1.068,0.753,0.972,0.423,0.43,0.676,-0.103,-0.468,-0.324,-1.606,-0.835,-0.904,-0.297,-1.134,-1.107,-0.021,-0.39,-0.261,0.154
0,0.125,0.137,0.938,0.893,0.936,0.605,0.727,1.011,0.422,0.65,0.631,0.284,-0.657,-0.462,-0.704,-0.595,-0.851,-1.393,-1.067,-0.528,-0.427,0.049,-0.553,-0.201
1,0.147,0.799,0.738,1.311,1.134,1.043,1.815,1.322,1.215,0.808,0.509,0.084,-0.643,-0.567,-0.699,-0.318,-0.612,-1.107,-0.686,-1.192,-0.671,-0.358,-0.768,0.358
1,0.052,-0.043,0.334,0.275,0.842,1.248,1.097,0.798,0.907,0.802,0.633,0.434,-0.332,-0.523,-0.37,-0.392,-1.214,-0.853,-0.96,-0.47,-0.428,-0.177,-0.349,0.313
1,0.472,0.119,0.427,1.278,0.828,1.395,1.464,0.845,0.845,0.411,0.616,-0.762,0.105,-0.413,-0.463,-0.933,-0.535,-0.943,-1.26,-0.89,-0.437,-0.934,-0.28,-0.239
1,-0.205,1.129,0.757,1.02,1.004,0.526,1.288,1.57,1.42,0.645,1.014,0.75,-0.014,0,-0.403,-0.708,-1.549,-0.794,-0.943,-1.117,-0.752,-0.799,0.106,-0.052
1,-0.141,0.542,0.32,0.466,0.424,0.797,1.124,1.474,0.828,1.148,0.159,0.022,-0.581,-0.935,-0.884,-0.901,-1.182,-0.999,-0.67,-0.58,-1.22,-0.412,-0.604,-0.053
1,0.269,0.3,0.462,0.903,0.986,0.482,0.985,1.556,0.83,0.967,0.5,0.094,-0.234,-0.45,-0.465,-0.93,-1.222,-1.389,-1.729,-0.705,-0.7,-0.186,-0.411,0.194
1,0.405,0.138,0.706,1.342,0.668,1.018,1.463,1.096,1.231,0.962,0.308,0.34,-0.344,-0.36,-1.039,-0.898,-0.951,-0.907,-0.912,-1.184,-0.999,-0.668,-0.644,0.596
1,0.28,0.379,0.648,0.748,0.939,0.942,1.076,1.055,0.787,0.556,0.735,0.14,0.182,-0.462,-0.444,-1.009,-1.639,-0.995,-0.626,-0.889,-0.84,-0.422,-0.255,-0.289
1,0.756,0.432,0.252,0.465,1.125,1.418,1.604,1.163,1.289,1.036,0.585,0.31,0.207,-1.221,-0.657,-0.987,-1.49,-1.208,-1.008,-1.003,-0.412,-0.294,-0.592,0.162
1,0.493,0.142,0.633,1.362,1.117,1.273,1.793,1.204,1.087,1.124,0.562,0.415,-0.419,-0.747,-0.721,-1.035,-0.73,-1.194,-1.2,-1.136,-0.369,-0.615,-0.437,-0.038
